Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,Gate length (ns),CZ error,RZZ error,MEASURE error,Operational
60,214.6145301,24.62229826,0.031005859,0.036865234,0.025146484,1560,0.000274506,24,0.000274506,0,0.000274506,0.000274506,61:68,01:00.0,01:00.0,0.031005859,Yes
61,204.6533677,99.27047897,0.041503906,0.083007813,0.038818359,1560,0.00021916,24,0.00021916,0,0.00021916,0.00021916,76:68;60:68;62:68,76:0.002770847681736466;60:0.0023386134505544165;62:0.002714980552858154,76:0.0019679188329294883;60:0.0017941550233936676;62:0.002512104475020205,0.041503906,Yes
62,109.8753878,40.3969255,0.018798828,0.021728516,0.015869141,1560,0.000310973,24,0.000310973,0,0.000310973,0.000310973,61:68;63:68,61:0.002714980552858154;63:0.0075875675672589515,61:0.002512104475020205;63:0.007434155652229962,0.018798828,Yes
63,139.572324,17.32733105,0.042724609,0.041748047,0.043701172,1560,0.000724339,24,0.000724339,0,0.000724339,0.000724339,56:68;62:68;64:68,56:0.004861338213631522;62:0.0075875675672589515;64:0.06764044823762275,56:0.00571987544685712;62:0.007434155652229962;64:0.08595045415231953,0.042724609,Yes
64,168.3690024,150.3531242,0.004638672,0.0078125,0.001464844,1560,0.000423034,24,0.000423034,0,0.000423034,0.000423034,65:68;63:68,65:0.0025032558259869553;63:0.06764044823762275,65:0.0024560858279779607;63:0.08595045415231953,0.004638672,Yes
65,57.77459172,48.18418347,0.086425781,0.081054688,0.091796875,1560,0.000321388,24,0.000321388,0,0.000321388,0.000321388,64:68;66:68;77:68,64:0.0025032558259869553;66:0.002420241656926586;77:0.0043992082285137235,64:0.0024560858279779607;66:0.0021673011348372906;77:0.004216829394126653,0.086425781,Yes
66,110.6204253,17.49540892,0.008911133,0.010253906,0.007568359,1560,0.000225867,24,0.000225867,0,0.000225867,0.000225867,65:68;67:68,65:0.002420241656926586;67:0.0033156630053188807,65:0.0021673011348372906;67:0.0032786323981887078,0.008911133,Yes
67,125.1583946,54.19684398,0.057006836,0.061279297,0.052734375,1560,0.000399752,24,0.000399752,0,0.000399752,0.000399752,68:68;57:68;66:68,68:0.0027860265560887276;57:0.005880970578607869;66:0.0033156630053188807,68:0.0029771424184735495;57:0.004716807415109159;66:0.0032786323981887078,0.057006836,Yes
68,123.1656902,110.2623759,0.005004883,0.006591797,0.003417969,1560,0.00020868,24,0.00020868,0,0.00020868,0.00020868,67:68;69:68,67:0.0027860265560887276;69:0.002875534813504499,67:0.0029771424184735495;69:0.00458034791038453,0.005004883,Yes
69,151.6782778,77.00230708,0.006103516,0.009765625,0.002441406,1560,0.000395531,24,0.000395531,0,0.000395531,0.000395531,78:68;68:68;70:68,78:0.0022853756476695353;68:0.002875534813504499;70:0.005342908994772078,78:0.0019125301728648292;68:0.00458034791038453;70:0.002854156170682548,0.006103516,Yes
70,101.9754813,76.51218105,0.003173828,0.005859375,0.000488281,1560,0.000373653,24,0.000373653,0,0.000373653,0.000373653,69:68;71:68,69:0.005342908994772078;71:0.003060247073157246,69:0.002854156170682548;71:0.002202312368301179,0.003173828,Yes
71,123.263294,108.7125708,0.006347656,0.010009766,0.002685547,1560,0.000238389,24,0.000238389,0,0.000238389,0.000238389,72:68;58:68;70:68,72:0.20263139049039036;58:0.002567404712125243;70:0.003060247073157246,72:0.23415129251624078;58:0.0023779373885768618;70:0.002202312368301179,0.006347656,Yes
72,8.837965663,99.15649887,0.50012207,0.197265625,0.802978516,1560,,24,,0,,,73:68;71:68,11:00.2,73:0.1130916008884824;71:0.23415129251624078,0.50012207,Yes
73,137.3785762,62.77988999,0.01574707,0.020019531,0.011474609,1560,0.000565386,24,0.000565386,0,0.000565386,0.000565386,72:68;74:68;79:68,74:0.0026676025193670683;79:0.0023166504992846726,72:0.1130916008884824;74:0.0020133253018377317;79:0.0023517068575824307,0.01574707,Yes
74,123.193138,123.0054096,0.007202148,0.008544922,0.005859375,1560,0.000359319,24,0.000359319,0,0.000359319,0.000359319,73:68;75:68,73:0.0026676025193670683;75:0.002720137799857192,73:0.0020133253018377317;75:0.0023364612414753794,0.007202148,Yes
75,148.1066269,144.0282244,0.00769043,0.010009766,0.005371094,1560,0.000368636,24,0.000368636,0,0.000368636,0.000368636,59:68;74:68,59:0.0028720229169467704;74:0.002720137799857192,59:0.002546316932020204;74:0.0023364612414753794,0.00769043,Yes
76,161.2412122,92.96252535,0.034912109,0.034667969,0.03515625,1560,0.000285354,24,0.000285354,0,0.000285354,0.000285354,81:68;61:68,81:0.0016141905052604322;61:0.002770847681736466,81:0.0016877229314595232;61:0.0019679188329294883,0.034912109,Yes
77,89.91226694,41.05756236,0.01171875,0.014892578,0.008544922,1560,0.000317219,24,0.000317219,0,0.000317219,0.000317219,85:68;65:68,85:0.003256027074343082;65:0.0043992082285137235,85:0.0034127957007173693;65:0.004216829394126653,0.01171875,Yes
78,116.347522,95.43147527,0.015380859,0.017089844,0.013916016,1560,0.000277581,24,0.000277581,0,0.000277581,0.000277581,69:68;89:68,69:0.0022853756476695353;89:0.0030547283120454793,69:0.0019125301728648292;89:0.0023802806333464988,0.015380859,Yes
